id,data,horas,dia,observção,Intervalo,Dias,Odometro Inicial,Odometro Final,Km percorridos,Km Acumulado,,,Média,,,,,,,,,,,,,,,,
2241,03/05/25,0:00:00,sábado,,12,30,"63,60","71,50","7,90","274,40",,,,,,,,,,,,,,,,,,,
2242,04/05/25,0:00:00,domingo,,12,31,"71,50","71,50","0,00","274,40",,,,,,,,,,,,,,,,,,,
2243,05/05/25,0:00:00,segunda,,12,32,"71,50","84,10","12,60","287,00",,,,,,,,,,,,,,,,,,,
2244,06/05/25,0:00:00,terça,,12,33,"84,10","95,80","11,70","298,70",,,,,,,,,,,,,,,,,,,
2245,07/05/25,0:00:00,quarta,,12,34,"95,80","98,50","2,70","301,40",,,,,,,,,,,,,,,,,,,
2246,07/05/25,0:00:00,quarta,"Abastecimento Ka - R$ 5,98Lt - Abastecido 8,36Lt - Total R$ 50,00",13,1,"98,50","119,60","21,10","21,10",,,,,,,,,,,,,,,,,,,
2247,08/05/25,0:00:00,quinta,,13,2,"119,60","132,90","13,30","34,40",,,,,,,,,,,,,,,,,,,
2248,09/05/25,0:00:00,sexta,,13,3,"132,90","138,90","6,00","40,40",,,,,,,,,,,,,,,,,,,
2249,10/05/25,0:00:00,sábado,,13,4,"138,90","145,60","6,70","47,10",,,,,,,,,,,,,,,,,,,
2250,11/05/25,0:00:00,domingo,,13,5,"145,60","145,60","0,00","47,10",,,,,,,,,,,,,,,,,,,
2251,12/05/25,0:00:00,segunda,,13,6,"145,60","154,00","8,40","55,50",,,,,,,,,,,,,,,,,,,
2252,13/05/25,0:00:00,terça,,13,7,"154,00","162,30","8,30","63,80",,,,,,,,,,,,,,,,,,,
2253,14/05/25,0:00:00,quarta,,13,8,"162,30","176,90","14,60","78,40",,,,,,,,,,,,,,,,,,,
2254,15/05/25,0:00:00,quinta,,13,9,"176,90","179,70","2,80","81,20",,,,,,,,,,,,,,,,,,,
2255,15/05/25,0:00:00,quinta,"Abastecimento Ka - R$ 5,98Lt - Abastecido 33,465Lt - Total R$ 200,12",14,1,"179,70","191,50","11,80","11,80",,,,,,,,,,,,,,,,,,,
2256,16/05/25,0:00:00,sexta,Nícolas faltou escola,14,2,"191,50","199,40","7,90","19,70",,,,,,,,,,,,,,,,,,,
2257,17/05/25,0:00:00,sábado,,14,3,"199,40","216,90","17,50","37,20",,,,,,,,,,,,,,,,,,,
2258,18/05/25,0:00:00,domingo,,14,4,"216,90","219,70","2,80","40,00",,,,,,,,,,,,,,,,,,,
2259,19/05/25,0:00:00,segunda,Nícolas faltou escola,14,5,"219,70","221,90","2,20","42,20",,,,,,,,,,,,,,,,,,,
2260,20/05/25,0:00:00,terça,Nícolas faltou escola,14,6,"221,90","224,20","2,30","44,50",,,,,,,,,,,,,,,,,,,
2261,21/05/25,0:00:00,quarta,Nícolas faltou escola,14,7,"224,20","230,00","5,80","50,30",,,,,,,,,,,,,,,,,,,
2262,22/05/25,0:00:00,quinta,Nícolas faltou escola,14,8,"230,00","232,60","2,60","52,90",,,,,,,,,,,,,,,,,,,
2263,23/05/25,0:00:00,sexta,Nícolas faltou escola,14,9,"232,60","242,40","9,80","62,70",,,,,,,,,,,,,,,,,,,
2264,24/05/25,0:00:00,sábado,,14,10,"242,40","242,40","0,00","62,70",,,,,,,,,,,,,,,,,,,
2265,25/05/25,0:00:00,domingo,,14,11,"242,40","246,00","3,60","66,30",,,,,,,,,,,,,,,,,,,
2266,26/05/25,0:00:00,segunda,,14,12,"246,00","259,90","13,90","80,20",,,,,,,,,,,,,,,,,,,
2267,27/05/25,0:00:00,terça,Nícolas faltou escola,14,13,"259,90","271,50","11,60","91,80",,,,,,,,,,,,,,,,,,,
2268,28/05/25,0:00:00,quarta,,14,14,"271,50","275,50","4,00","95,80",,,,,,,,,,,,,,,,,,,
2269,29/05/25,0:00:00,quinta,[ Acabou o gás de cozinha ],14,15,"275,50","289,60","14,10","109,90",,,,,,,,,,,,,,,,,,,
2270,30/05/25,0:00:00,sexta,,14,16,"289,60","300,90","11,30","121,20",,,,,,,,,,,,,,,,,,,
2271,31/05/25,0:00:00,sábado,,14,17,"300,90","309,00","8,10","129,30",,,,,,,,,,,,,,,,,,,
2272,01/06/25,0:00:00,domingo,,14,18,"309,00","316,30","7,30","136,60",,,,,,,,,,,,,,,,,,,
2273,02/06/25,0:00:00,segunda,,14,19,"316,30","328,20","11,90","148,50",,,,,,,,,,,,,,,,,,,
2274,03/06/25,0:00:00,terça,,14,20,"328,20","351,60","23,40","171,90",,,,,,,,,,,,,,,,,,,
2275,04/06/25,0:00:00,quarta,,14,21,"351,60","365,80","14,20","186,10",,,,,,,,,,,,,,,,,,,
2276,05/06/25,0:00:00,quinta,,14,22,"365,80","376,60","10,80","196,90",,,,,,,,,,,,,,,,,,,
2277,06/06/25,0:00:00,sexta,Nícolas faltou escola,14,23,"376,60","381,10","4,50","201,40",,,,,,,,,,,,,,,,,,,
2278,07/06/25,0:00:00,sábado,,14,24,"381,10","389,40","8,30","209,70",,,,,,,,,,,,,,,,,,,
2279,08/06/25,0:00:00,domingo,,14,25,"389,40","389,40","0,00","209,70",,,,,,,,,,,,,,,,,,,
2280,09/06/25,0:00:00,segunda,,14,26,"389,40","402,00","12,60","222,30",,,,,,,,,,,,,,,,,,,
2281,10/06/25,0:00:00,terça,,14,27,"402,00","415,60","13,60","235,90",,,,,,,,,,,,,,,,,,,
2282,11/06/25,0:00:00,quarta,Nícolas faltou escola,14,28,"415,60","422,40","6,80","242,70",,,,,,,,,,,,,,,,,,,
2283,12/06/25,0:00:00,quinta,,14,29,"422,40","438,50","16,10","258,80",,,,,,,,,,,,,,,,,,,
2284,13/06/25,0:00:00,sexta,,14,30,"438,50","456,90","18,40","277,20",,,,,,,,,,,,,,,,,,,
2285,14/06/25,0:00:00,sábado,,14,31,"456,90","468,50","11,60","288,80",,,,,,,,,,,,,,,,,,,
2286,14/06/25,0:00:00,sábado,"Abastecimento Ka - R$ 5,98Lt - Abastecido 34,13Lt - Total R$ 204,10",15,1,"468,50","471,20","2,70","2,70",,,,,,,,,,,,,,,,,,,
2287,15/06/25,0:00:00,domingo,,15,2,"471,20","471,20","0,00","2,70",,,,,,,,,,,,,,,,,,,
2288,16/06/25,0:00:00,segunda,,15,3,"471,20","478,60","7,40","10,10",,,,,,,,,,,,,,,,,,,
2289,17/06/25,0:00:00,terça,,15,4,"478,60","492,50","13,90","24,00",,,,,,,,,,,,,,,,,,,
2290,18/06/25,0:00:00,quarta,,15,5,"492,50","515,90","23,40","47,40",,,,,,,,,,,,,,,,,,,
2291,19/06/25,0:00:00,quinta,,15,6,"515,90","515,90","0,00","47,40",,,,,,,,,,,,,,,,,,,
2292,20/06/25,0:00:00,sexta,,15,7,"515,90","536,10","20,20","67,60",,,,,,,,,,,,,,,,,,,
2293,21/06/25,0:00:00,sábado,,15,8,"536,10","552,90","16,80","84,40",,,,,,,,,,,,,,,,,,,
2294,22/06/25,0:00:00,domingo,,15,9,"552,90","552,90","0,00","84,40",,,,,,,,,,,,,,,,,,,
2295,23/06/25,0:00:00,segunda,,15,10,"552,90","571,10","18,20","102,60",,,,,,,,,,,,,,,,,,,
2296,24/06/25,0:00:00,terça,,15,11,"571,10","571,10","0,00","102,60",,,,,,,,,,,,,,,,,,,
2297,25/06/25,0:00:00,quarta,,15,12,"571,10","594,30","23,20","125,80",,,,,,,,,,,,,,,,,,,
2298,26/06/25,0:00:00,quinta,,15,13,"594,30","612,10","17,80","143,60",,,,,,,,,,,,,,,,,,,
